* Measurement data measured by REW V5.30 beta 5
* Source: EXCL: Microphone (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -13.0 dBFS with no timing reference
* Dated: Dec 15, 2023 12:06:40 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Fir Audio Neon 4 L
* Measurement: L Fir Audio Neon 4
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 62.481 -7.3791
0.732422 66.837 4.9771
1.098633 73.599 9.5591
1.464844 79.445 2.6066
1.831055 83.896 -8.5401
2.197266 87.219 -20.6449
2.563477 89.678 -32.3068
2.929688 91.489 -42.7680
3.295898 92.839 -51.6096
3.662109 93.902 -58.7483
4.028320 94.818 -64.4773
4.394531 95.670 -69.3496
4.760742 96.469 -73.8817
5.126953 97.188 -78.3050
5.493164 97.804 -82.5605
5.859375 98.322 -86.4716
6.225586 98.769 -89.9283
6.591797 99.180 -92.9714
6.958008 99.572 -95.7490
7.324219 99.945 -98.4012
7.690430 100.288 -100.9768
8.056641 100.594 -103.4410
8.422852 100.868 -105.7412
8.789062 101.120 -107.8658
9.155273 101.357 -109.8511
9.521484 101.582 -111.7470
9.887695 101.792 -113.5789
10.253906 101.984 -115.3408
10.620117 102.159 -117.0160
10.986328 102.322 -118.6002
11.352539 102.475 -120.1063
11.718750 102.619 -121.5512
12.084961 102.754 -122.9431
12.451172 102.880 -124.2803
12.817383 102.997 -125.5600
13.183594 103.108 -126.7859
13.549805 103.214 -127.9672
13.916016 103.313 -129.1108
14.282227 103.407 -130.2174
14.648438 103.495 -131.2840
15.014648 103.578 -132.3097
15.380859 103.657 -133.2979
15.747070 103.733 -134.2536
16.113281 103.805 -135.1794
16.479492 103.873 -136.0745
16.845703 103.938 -136.9387
17.211914 104.001 -137.7751
17.578125 104.062 -138.5892
17.944336 104.120 -139.3850
18.310547 104.175 -140.1620
18.676758 104.226 -140.9162
19.042969 104.274 -141.6444
19.409180 104.320 -142.3470
19.775391 104.365 -143.0277
20.141602 104.408 -143.6904
20.507812 104.449 -144.3368
20.874023 104.489 -144.9671
21.240234 104.527 -145.5812
21.606445 104.563 -146.1803
21.972656 104.598 -146.7661
22.338867 104.632 -147.3399
22.705078 104.664 -147.9014
23.071289 104.695 -148.4494
23.437500 104.724 -148.9839
23.803711 104.753 -149.5057
24.169922 104.780 -150.0161
24.536133 104.807 -150.5161
24.902344 104.832 -151.0053
25.268555 104.856 -151.4829
25.634766 104.880 -151.9483
26.000977 104.903 -152.4024
26.367188 104.925 -152.8473
26.733398 104.948 -153.2858
27.099609 104.969 -153.7194
27.465820 104.990 -154.1471
27.832031 105.008 -154.5656
28.198242 105.026 -154.9716
28.564453 105.044 -155.3647
28.930664 105.062 -155.7483
29.296875 105.080 -156.1281
29.663086 105.097 -156.5078
30.029297 105.114 -156.8860
30.395508 105.129 -157.2574
30.761719 105.143 -157.6171
31.127930 105.157 -157.9654
31.494141 105.173 -158.3087
31.860352 105.188 -158.6545
32.226562 105.203 -159.0058
32.592773 105.216 -159.3582
32.958984 105.228 -159.7032
33.325195 105.238 -160.0346
33.691406 105.249 -160.3539
34.057617 105.260 -160.6689
34.423828 105.272 -160.9876
34.790039 105.283 -161.3117
35.156250 105.293 -161.6354
35.522461 105.300 -161.9498
35.888672 105.306 -162.2493
36.254883 105.313 -162.5362
36.621094 105.320 -162.8174
36.987305 105.328 -163.0993
37.353516 105.335 -163.3823
37.719727 105.340 -163.6612
38.085938 105.345 -163.9300
38.452148 105.350 -164.1873
38.818359 105.356 -164.4378
39.184570 105.362 -164.6888
39.550781 105.369 -164.9447
39.916992 105.375 -165.2041
40.283203 105.380 -165.4613
40.649414 105.384 -165.7115
41.015625 105.387 -165.9541
41.381836 105.392 -166.1927
41.748047 105.396 -166.4315
42.114258 105.400 -166.6713
42.480469 105.404 -166.9090
42.846680 105.406 -167.1410
43.212891 105.409 -167.3660
43.579102 105.413 -167.5867
43.945312 105.416 -167.8066
44.311523 105.420 -168.0269
44.677734 105.423 -168.2451
45.043945 105.426 -168.4576
45.410156 105.429 -168.6636
45.776367 105.433 -168.8672
46.142578 105.438 -169.0746
46.508789 105.442 -169.2891
46.875000 105.445 -169.5079
47.241211 105.447 -169.7235
47.607422 105.448 -169.9292
47.973633 105.449 -170.1251
48.339844 105.451 -170.3179
48.706055 105.453 -170.5153
49.072266 105.455 -170.7190
49.438477 105.455 -170.9219
49.804688 105.453 -171.1131
50.170898 105.452 -171.2865
50.537109 105.452 -171.4476
50.903320 105.455 -171.6107
51.269531 105.460 -171.7903
51.635742 105.465 -171.9905
52.001953 105.466 -172.2019
52.368164 105.463 -172.4073
52.734375 105.458 -172.5923
53.100586 105.454 -172.7529
53.466797 105.451 -172.8967
53.833008 105.452 -173.0365
54.199219 105.454 -173.1827
54.565430 105.457 -173.3391
54.931641 105.460 -173.5034
55.297852 105.462 -173.6709
55.664062 105.464 -173.8382
56.030273 105.466 -174.0044
56.396484 105.468 -174.1706
56.762695 105.470 -174.3378
57.128906 105.472 -174.5062
57.495117 105.474 -174.6760
57.861328 105.476 -174.8482
58.227539 105.478 -175.0247
58.593750 105.479 -175.2074
58.959961 105.479 -175.3949
59.326172 105.477 -175.5806
59.692383 105.473 -175.7538
60.058594 105.468 -175.9069
60.424805 105.464 -176.0417
60.791016 105.464 -176.1714
61.157227 105.466 -176.3131
61.523438 105.467 -176.4748
61.889648 105.466 -176.6463
62.255859 105.460 -176.8041
62.622070 105.452 -176.9276
62.988281 105.447 -177.0165
63.354492 105.449 -177.0941
63.720703 105.456 -177.1928
64.086914 105.465 -177.3322
64.453125 105.471 -177.5067
64.819336 105.472 -177.6942
65.185547 105.470 -177.8750
65.551758 105.467 -178.0466
65.917969 105.463 -178.2202
66.284180 105.458 -178.4017
66.650391 105.447 -178.5783
67.016602 105.433 -178.7229
67.382812 105.419 -178.8162
67.749023 105.412 -178.8688
68.115234 105.415 -178.9215
68.481445 105.425 -179.0209
68.847656 105.437 -179.1880
69.213867 105.442 -179.4045
69.580078 105.438 -179.6268
69.946289 105.429 -179.8161
70.312500 105.419 -179.9622
70.678711 105.413 179.9162
71.044922 105.411 179.7907
71.411133 105.411 179.6463
71.777344 105.409 179.4891
72.143555 105.405 179.3363
72.509766 105.399 179.1994
72.875977 105.395 179.0756
73.242188 105.393 178.9527
73.608398 105.392 178.8209
73.974609 105.390 178.6811
74.340820 105.386 178.5426
74.707031 105.381 178.4147
75.073242 105.377 178.2997
75.439453 105.373 178.1915
75.805664 105.372 178.0817
76.171875 105.371 177.9647
76.538086 105.370 177.8401
76.904297 105.368 177.7110
77.270508 105.365 177.5807
77.636719 105.362 177.4514
78.002930 105.358 177.3239
78.369141 105.355 177.1985
78.735352 105.351 177.0753
79.101562 105.348 176.9529
79.467773 105.346 176.8292
79.833984 105.344 176.7004
80.200195 105.343 176.5636
80.566406 105.342 176.4172
80.932617 105.339 176.2623
81.298828 105.335 176.1024
81.665039 105.330 175.9428
82.031250 105.323 175.7878
82.397461 105.316 175.6393
82.763672 105.310 175.4955
83.129883 105.303 175.3519
83.496094 105.297 175.2036
83.862305 105.290 175.0486
84.228516 105.282 174.8896
84.594727 105.271 174.7327
84.960938 105.259 174.5855
85.327148 105.245 174.4537
85.693359 105.231 174.3391
86.059570 105.217 174.2393
86.425781 105.205 174.1495
86.791992 105.194 174.0638
87.158203 105.185 173.9778
87.524414 105.176 173.8889
87.890625 105.167 173.7970
88.256836 105.157 173.7040
88.623047 105.147 173.6126
88.989258 105.137 173.5254
89.355469 105.127 173.4439
89.721680 105.117 173.3681
90.087891 105.108 173.2960
90.454102 105.100 173.2243
90.820312 105.092 173.1501
91.186523 105.085 173.0719
91.552734 105.078 172.9919
91.918945 105.070 172.9146
92.285156 105.061 172.8455
92.651367 105.054 172.7870
93.017578 105.048 172.7364
93.383789 105.045 172.6862
93.750000 105.044 172.6274
94.116211 105.043 172.5547
94.482422 105.042 172.4700
94.848633 105.039 172.3814
95.214844 105.034 172.2987
95.581055 105.029 172.2272
95.947266 105.024 172.1646
96.313477 105.022 172.1023
96.679688 105.020 172.0323
97.045898 105.019 171.9518
97.412109 105.016 171.8649
97.778320 105.013 171.7777
98.144531 105.010 171.6930
98.510742 105.007 171.6072
98.876953 105.006 171.5137
99.243164 105.004 171.4094
99.609375 105.001 171.2984
99.975586 104.996 171.1899
100.341797 104.991 171.0916
100.708008 104.988 171.0025
101.074219 104.986 170.9141
101.440430 104.987 170.8151
101.806641 104.987 170.7010
102.172852 104.985 170.5777
102.539062 104.980 170.4591
102.905273 104.973 170.3589
103.271484 104.967 170.2816
103.637695 104.963 170.2188
104.003906 104.962 170.1534
104.370117 104.962 170.0703
104.736328 104.960 169.9671
105.102539 104.954 169.8580
105.468750 104.944 169.7656
105.834961 104.933 169.7046
106.201172 104.925 169.6681
106.567383 104.922 169.6288
106.933594 104.923 169.5565
107.299805 104.923 169.4412
107.666016 104.918 169.3011
108.032227 104.908 169.1693
108.398438 104.897 169.0656
108.764648 104.890 168.9813
109.130859 104.888 168.8878
109.497070 104.889 168.7643
109.863281 104.888 168.6172
110.229492 104.885 168.4727
110.595703 104.882 168.3470
110.961914 104.883 168.2271
111.328125 104.888 168.0821
111.694336 104.891 167.8985
112.060547 104.886 167.7040
112.426758 104.873 167.5508
112.792969 104.859 167.4692
113.159180 104.851 167.4345
113.525391 104.852 167.3846
113.891602 104.852 167.2795
114.257812 104.842 167.1447
114.624023 104.821 167.0504
114.990234 104.799 167.0388
115.356445 104.788 167.0657
115.722656 104.788 167.0261
116.088867 104.784 166.8531
116.455078 104.757 166.6016
116.821289 104.704 166.4260
117.187500 104.645 166.4516
117.553711 104.612 166.6364
117.919922 104.620 166.7551
118.286133 104.651 166.5645
118.652344 104.657 166.0165
119.018555 104.602 165.3317
119.384766 104.483 164.8770
119.750977 104.345 164.9317
120.117188 104.254 165.4711
120.483398 104.250 166.1435
120.849609 104.319 166.5200
121.215820 104.407 166.4094
121.582031 104.462 165.9458
121.948242 104.466 165.4301
122.314453 104.440 165.1038
122.680664 104.417 165.0085
123.046875 104.419 165.0096
123.413086 104.440 164.9483
123.779297 104.458 164.7827
124.145508 104.460 164.5993
124.511719 104.449 164.5136
124.877930 104.441 164.5628
125.244141 104.450 164.6793
125.610352 104.475 164.7548
125.976562 104.505 164.7275
126.342773 104.526 164.6152
126.708984 104.534 164.4778
127.075195 104.532 164.3616
127.441406 104.526 164.2725
127.807617 104.517 164.1920
128.173828 104.506 164.1088
128.540039 104.490 164.0318
128.906250 104.472 163.9769
129.272461 104.454 163.9457
129.638672 104.441 163.9200
130.004883 104.432 163.8734
130.371094 104.424 163.7902
130.737305 104.415 163.6736
131.103516 104.400 163.5422
131.469727 104.382 163.4214
131.835938 104.361 163.3325
132.202148 104.343 163.2822
132.568359 104.332 163.2538
132.934570 104.330 163.2090
133.300781 104.332 163.1078
133.666992 104.331 162.9384
134.033203 104.318 162.7355
134.399414 104.292 162.5668
134.765625 104.260 162.4910
135.131836 104.233 162.5144
135.498047 104.220 162.5805
135.864258 104.219 162.6087
136.230469 104.222 162.5528
136.596680 104.218 162.4333
136.962891 104.202 162.3168
137.329102 104.180 162.2609
137.695312 104.163 162.2682
138.061523 104.157 162.2849
138.427734 104.159 162.2452
138.793945 104.160 162.1236
139.160156 104.151 161.9520
139.526367 104.131 161.7930
139.892578 104.105 161.6932
140.258789 104.081 161.6536
140.625000 104.065 161.6369
140.991211 104.054 161.6024
141.357422 104.044 161.5365
141.723633 104.030 161.4580
142.089844 104.014 161.3954
142.456055 103.998 161.3593
142.822266 103.986 161.3329
143.188477 103.978 161.2858
143.554688 103.969 161.2004
143.920898 103.955 161.0893
144.287109 103.932 160.9910
144.653320 103.904 160.9465
145.019531 103.877 160.9720
145.385742 103.860 161.0438
145.751953 103.856 161.1084
146.118164 103.860 161.1104
146.484375 103.864 161.0251
146.850586 103.860 160.8731
147.216797 103.844 160.7095
147.583008 103.817 160.5940
