* Measurement data measured by REW V5.20.4
* Source: Trace Arithmetic result A * B
* Format: Trace Arithmetic result A * B
* Dated: 15-Aug-2023 09:04:22
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Ploopy R DSP
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
2200.000000	63.460
2240.000000	63.230
2270.000000	63.031
2300.000000	62.789
2330.000000	62.506
2360.000000	62.248
2400.000000	62.004
2430.000000	61.879
2470.000000	61.767
2500.000000	61.729
2540.000000	61.738
2580.000000	61.804
2620.000000	61.922
2650.000000	62.048
2690.000000	62.258
2720.000000	62.426
2760.000000	62.628
2800.000000	62.800
2850.000000	63.093
2900.000000	63.663
2950.000000	64.504
3000.000000	65.378
3040.000000	65.946
3070.000000	66.261
3110.000000	66.539
3150.000000	66.695
3200.000000	66.799
3250.000000	66.865
3300.000000	66.901
3350.000000	66.887
3400.000000	66.805
3450.000000	66.650
3500.000000	66.439
3550.000000	66.202
3600.000000	65.986
3650.000000	65.836
3700.000000	65.776
3750.000000	65.789
3820.000000	65.828
3870.000000	65.807
3950.000000	65.664
4000.000000	65.531
4060.000000	65.348
4120.000000	65.152
4180.000000	64.959
4250.000000	64.773
4310.000000	64.670
4370.000000	64.626
4440.000000	64.643
4500.000000	64.699
4550.000000	64.759
4620.000000	64.836
4680.000000	64.865
4750.000000	64.812
4820.000000	64.624
4870.000000	64.392
4940.000000	63.931
5000.000000	63.426
5080.000000	62.649
5150.000000	61.946
5220.000000	61.305
5300.000000	60.747
5380.000000	60.439
5450.000000	60.353
5520.000000	60.365
5600.000000	60.405
5700.000000	60.417
5800.000000	60.373
5900.000000	60.322
6000.000000	60.364
6080.000000	60.555
6150.000000	60.883
6220.000000	61.368
6300.000000	62.078
6400.000000	63.062
6500.000000	63.954
6600.000000	64.577
6700.000000	64.841
6800.000000	64.743
6900.000000	64.346
7000.000000	63.741
7100.000000	63.023
7200.000000	62.278
