* Freq(Hz)	SPL(dB)
862.000000	99.573
875.000000	99.585
885.000000	99.597
900.000000	99.620
912.000000	99.644
925.000000	99.675
938.000000	99.715
950.000000	99.761
962.000000	99.817
975.000000	99.888
988.000000	99.963
1000.000000	100.033
1015.000000	100.116
1030.000000	100.191
1044.000000	100.252
1060.000000	100.305
1075.000000	100.334
1090.000000	100.346
1106.000000	100.355
1120.000000	100.367
1138.000000	100.399
1150.000000	100.432
1172.000000	100.511
1180.000000	100.547
1206.000000	100.690
1220.000000	100.779
1241.000000	100.914
1250.000000	100.970
1265.000000	101.056
1280.000000	101.134
1315.000000	101.281
1320.000000	101.298
1340.000000	101.350
1360.000000	101.386
1380.000000	101.408
1400.000000	101.420
1430.000000	101.427
1450.000000	101.424
1475.000000	101.410
1500.000000	101.386
1525.000000	101.355
1550.000000	101.319
1575.000000	101.282
1600.000000	101.246
1625.000000	101.215
1650.000000	101.194
1675.000000	101.185
1700.000000	101.194
1725.000000	101.229
1750.000000	101.300
1775.000000	101.412
1800.000000	101.557
1825.000000	101.727
1850.000000	101.916
1875.000000	102.117
1900.000000	102.319
1925.000000	102.512
1950.000000	102.688
1975.000000	102.850
2000.000000	103.000
2030.000000	103.167
2060.000000	103.319
2090.000000	103.463
2120.000000	103.603
2140.000000	103.698
2180.000000	103.897
2200.000000	104.002
2240.000000	104.231
2270.000000	104.424
2300.000000	104.637
2330.000000	104.861
2360.000000	105.086
2400.000000	105.377
2430.000000	105.584
2470.000000	105.845
2500.000000	106.029
2540.000000	106.258
2580.000000	106.466
2620.000000	106.651
2650.000000	106.775
2690.000000	106.932
2720.000000	107.051
2760.000000	107.220
2800.000000	107.408
2850.000000	107.656
2900.000000	107.901
2950.000000	108.130
3000.000000	108.340
3040.000000	108.491
3070.000000	108.593
3110.000000	108.711
3150.000000	108.811
3200.000000	108.913
3250.000000	108.990
3300.000000	109.044
3350.000000	109.074
3400.000000	109.075
3450.000000	109.043
3500.000000	108.979
3550.000000	108.887
3600.000000	108.772
3650.000000	108.636
3700.000000	108.483
3750.000000	108.319
3820.000000	108.082
3870.000000	107.913
3950.000000	107.648
4000.000000	107.487
4060.000000	107.303
4120.000000	107.127
4180.000000	106.952
4250.000000	106.736
4310.000000	106.529
4370.000000	106.299
4440.000000	106.001
4500.000000	105.720
4550.000000	105.471
4620.000000	105.106
4680.000000	104.785
4750.000000	104.407
4820.000000	104.030
4870.000000	103.763
4940.000000	103.404
5000.000000	103.124
5080.000000	102.804
5150.000000	102.580
5220.000000	102.421
5300.000000	102.328
5380.000000	102.324
5450.000000	102.393
5520.000000	102.545
5600.000000	102.835
5700.000000	103.344
5800.000000	103.953
5900.000000	104.598
6000.000000	105.237
6080.000000	105.736
6150.000000	106.161
6220.000000	106.570
6300.000000	107.007
6400.000000	107.485
6500.000000	107.877
6600.000000	108.175
6700.000000	108.361
6800.000000	108.431
6900.000000	108.410
7000.000000	108.314
7100.000000	108.146
7200.000000	107.916
7300.000000	107.649
7400.000000	107.373
7500.000000	107.108
7620.000000	106.827
7750.000000	106.597
7880.000000	106.439
8000.000000	106.329
8120.000000	106.240
8250.000000	106.153
8380.000000	106.054
8500.000000	105.924
8620.000000	105.731
8750.000000	105.455
8850.000000	105.212
9000.000000	104.822
9120.000000	104.490
9250.000000	104.088
9380.000000	103.618
9500.000000	103.113
9620.000000	102.533
9750.000000	101.833
9880.000000	101.161
10000.000000	100.640
10150.000000	100.127
10300.000000	99.753
10440.000000	99.513
10600.000000	99.338
10750.000000	99.256
10900.000000	99.250
11060.000000	99.309
11200.000000	99.406
11380.000000	99.589
11500.000000	99.751
11720.000000	100.128
11800.000000	100.289
12060.000000	100.903
12200.000000	101.287
12410.000000	101.870
12500.000000	102.091
12650.000000	102.389
12800.000000	102.597
13150.000000	102.676
13200.000000	102.634
13400.000000	102.330
13600.000000	101.790
13800.000000	100.968
14000.000000	99.898
14300.000000	97.949
14500.000000	96.444
14750.000000	94.358
15000.000000	92.226
15250.000000	90.123
15500.000000	88.103
15750.000000	86.208
16000.000000	84.501
16250.000000	83.200
16500.000000	82.365
16750.000000	81.909
17000.000000	81.747
17250.000000	81.907
17500.000000	82.419
17750.000000	83.322
18000.000000	84.450
18250.000000	85.616
18500.000000	86.803
18750.000000	87.913
19000.000000	88.881
19250.000000	89.667
19500.000000	90.288
19750.000000	90.664
