* Measurement data measured by REW V5.20.4
* Source: Trace Arithmetic result Merge B to A
* Format: Trace Arithmetic result Merge B to A
* Dated: 25-Aug-2023 19:30:30
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: SE-1 fabric bass L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
2180.000000	47.942
2200.000000	48.196
2240.000000	48.716
2270.000000	49.104
2300.000000	49.447
2330.000000	49.729
2360.000000	49.996
2400.000000	50.362
2430.000000	50.634
2470.000000	51.006
2500.000000	51.316
2540.000000	51.773
2580.000000	52.239
2620.000000	52.658
2650.000000	52.917
2690.000000	53.165
2720.000000	53.263
2760.000000	53.257
2800.000000	53.112
2850.000000	52.864
2900.000000	52.754
2950.000000	52.837
3000.000000	52.953
3040.000000	52.949
3070.000000	52.865
3110.000000	52.659
3150.000000	52.387
3200.000000	52.028
3250.000000	51.683
3300.000000	51.325
3350.000000	50.902
3400.000000	50.374
3450.000000	49.729
3500.000000	48.980
3550.000000	48.162
3600.000000	47.333
3650.000000	46.567
3700.000000	45.948
3750.000000	45.538
3820.000000	45.353
3870.000000	45.467
3950.000000	45.936
4000.000000	46.308
4060.000000	46.732
4120.000000	47.075
4180.000000	47.328
4250.000000	47.543
4310.000000	47.698
4370.000000	47.855
4440.000000	48.065
4500.000000	48.269
4550.000000	48.448
4620.000000	48.690
4680.000000	48.871
4750.000000	49.033
4820.000000	49.131
4870.000000	49.157
4940.000000	49.137
5000.000000	49.085
5080.000000	49.010
5150.000000	48.995
5220.000000	49.088
5300.000000	49.393
5380.000000	49.917
5450.000000	50.485
5520.000000	51.048
5600.000000	51.569
5700.000000	51.927
5800.000000	51.917
5900.000000	51.561
6000.000000	50.932
6080.000000	50.309
6150.000000	49.735
6220.000000	49.186
6300.000000	48.646
6400.000000	48.164
6500.000000	47.880
6600.000000	47.688
6700.000000	47.472
6800.000000	47.174
6900.000000	46.808
7000.000000	46.437
7100.000000	46.138
7200.000000	45.980
7300.000000	46.016
7400.000000	46.269
7500.000000	46.715
7620.000000	47.389
7750.000000	48.090
7880.000000	48.604
8000.000000	48.879
8120.000000	48.976
8250.000000	48.885
8380.000000	48.584
8500.000000	48.122
8620.000000	47.501
8750.000000	46.667
8850.000000	45.933
9000.000000	44.793
9120.000000	44.041
9250.000000	43.608
9380.000000	43.610
9500.000000	43.868
9620.000000	44.218
9750.000000	44.566
9880.000000	44.790
10000.000000	44.855
10150.000000	44.778
10300.000000	44.615
10440.000000	44.444
10600.000000	44.203
10750.000000	43.831
10900.000000	43.217
11060.000000	42.247
11200.000000	41.151
11380.000000	39.522
11500.000000	38.406
11720.000000	36.673
11800.000000	36.254
12060.000000	35.969
12200.000000	36.360
12410.000000	37.126
12500.000000	37.392
12650.000000	37.643
12800.000000	37.619
13150.000000	36.748
13200.000000	36.592
13400.000000	36.103
13600.000000	36.020
13800.000000	36.386
14000.000000	37.026
14300.000000	38.003
14500.000000	38.427
14750.000000	38.576
15000.000000	38.325
15250.000000	37.876
15500.000000	37.656
15750.000000	38.023
16000.000000	38.749
16250.000000	39.352
16500.000000	39.673
16750.000000	39.860
17000.000000	40.055
17250.000000	40.208
17500.000000	40.169
17750.000000	39.839
18000.000000	39.230
18250.000000	38.440
18500.000000	37.620
18750.000000	36.917
19000.000000	36.460
19250.000000	36.355
19500.000000	36.573
19750.000000	36.905
